X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	Y	direction
318	294	262	274	229	63	92	274	335	142	130	237	278	249	227	325	5	center
301	275	247	278	236	63	94	285	352	142	131	260	296	268	249	341	5	center
283	251	219	274	234	63	93	283	351	142	131	264	298	272	253	343	5	center
298	267	231	257	219	62	90	269	340	141	130	260	297	271	253	342	5	center
316	290	256	245	207	61	87	251	313	139	129	232	275	250	231	326	5	center
316	291	258	262	222	62	90	264	324	140	129	232	276	248	224	320	5	center
308	283	253	275	235	63	93	283	349	141	131	258	294	268	243	336	5	center
284	252	223	274	234	63	93	284	352	141	130	266	299	274	253	344	5	center
291	257	222	262	224	62	92	276	347	141	130	264	296	272	253	343	5	center
314	286	251	243	207	61	87	253	317	139	129	239	278	255	237	330	5	center
316	292	259	256	216	62	88	259	318	140	128	229	271	246	222	320	5	center
313	288	256	274	233	63	93	281	345	141	130	252	289	263	238	332	5	center
289	259	232	275	234	63	94	284	353	141	130	264	300	274	252	343	5	center
286	254	220	269	230	63	92	279	350	141	131	266	303	275	255	344	5	center
310	282	245	246	209	61	88	257	324	140	129	248	288	262	245	336	5	center
316	292	258	251	212	61	87	255	314	139	128	228	274	245	222	319	5	center
313	289	257	272	232	63	92	278	341	141	129	248	289	260	235	329	5	center
290	261	234	274	234	63	94	285	354	141	131	264	302	275	255	345	5	center
285	252	219	268	229	62	93	280	351	141	130	264	301	274	255	344	5	center
307	280	245	245	208	61	87	256	323	140	129	246	287	261	244	336	5	center
316	292	258	251	212	61	88	256	315	139	128	227	273	246	222	319	5	center
310	288	256	273	232	63	92	278	344	140	130	250	290	262	237	331	5	center
285	258	231	274	234	63	92	283	352	141	131	265	302	276	255	345	5	center
285	254	221	266	227	62	92	277	349	140	130	263	300	274	255	344	5	center
313	286	250	243	206	61	87	253	318	139	129	239	281	257	239	332	5	center
315	291	258	258	218	62	89	261	320	139	129	230	275	248	223	320	5	center
306	283	253	275	235	63	93	282	349	141	130	257	296	269	245	336	5	center
281	250	221	274	233	63	93	283	352	141	131	264	301	276	255	345	5	center
294	263	228	255	218	62	90	269	341	141	130	258	296	271	253	343	5	center
313	290	257	246	208	61	86	251	312	139	128	228	273	247	226	322	5	center
314	290	258	269	228	63	91	272	335	140	129	240	282	255	228	324	5	center
293	267	240	274	234	63	93	284	353	141	131	263	301	275	253	343	5	center
283	251	219	267	229	62	92	279	351	141	130	264	300	275	254	344	5	center
308	283	249	243	207	61	86	252	318	139	128	241	281	257	239	331	5	center
315	290	257	259	220	62	89	263	321	139	128	230	270	244	221	319	5	center
300	276	247	273	235	63	92	283	350	140	130	259	293	267	246	338	5	center
280	248	216	269	232	62	93	282	352	140	130	264	296	272	253	343	5	center
306	277	241	244	208	61	88	258	327	139	128	248	288	263	247	337	5	center
